identifier_slug,field,temporal_scope,domain_category,knowledge_areas,body_of_knowledge_coverage,body_of_knowledge_details,earliest_historical_year,age_epoch_of_history,dependencies,interconnections,synergistic_relationships,evolutionary_pathways,knowledge_dependency_graph,non_western_knowledge_systems,indigenous_knowledge,alternative_epistemologies,cultural_variations,technological_advancements,space_exploration_implications,post_earth_civilization_needs,real_world_implementations,professional_practices,industry_standards,data_quality,data_source,last_updated,Column1,signal_icon,layer,epistemology,cultural_context,standardization,included_internet
religious_criticism,Religious Criticism,,Religion,,,,,,,,,,"{
  ""religious_criticism"": {
    ""depends_on"": [""theology"", ""philosophy_of_religion"", ""sociology_of_religion"", ""comparative_religion"", ""history_of_religion""],
    ""used_by"": [""religious_studies"", ""secularism"", ""atheism"", ""agnosticism""]
  }
}",,,,,,,,,,,,,,,,Religion & Spirituality,Cultural / Social / Informal,High,Low,TRUE
atheism_agnosticism,Atheism & Agnosticism,Prehistoric times to present,Religion & Spirituality,"Philosophy of Religion, Theology, Religious Studies, Epistemology, Ethics, Metaphysics, Secularism, Humanism, Comparative Religion, Sociology of Religion, History of Religion, Critical Thinking, Logic, Scientific Skepticism","Philosophical arguments for and against the existence of God, history of atheism and agnosticism, famous atheists and agnostics, atheism and agnosticism in different cultures and societies, impact of atheism and agnosticism on science and morality.","Atheism and Agnosticism refer to philosophical, religious, and cultural belief systems that reject the existence of a deity or remain skeptical about the knowledge of a supreme being. They encompass various schools of thought, historical developments, arguments for and against the existence of God, ethical implications, and impacts on",500 BCE,Modern Era,"Philosophy, Theology, Sociology, Psychology","Philosophy, Secularism, Humanism, Science, Skepticism, Religion, Theology, Existentialism, Metaphysics, Ethics","Secularism, Humanism, Rationalism, Skepticism, Freethought, Nontheism, Irreligion",Development from philosophical arguments to scientific evidence,"{
  ""nodes"": [
    ""philosophy"",
    ""theology"",
    ""science"",
    ""humanism"",
    ""ethics"",
    ""atheism_agnosticism""
  ],
  ""edges"": [
    {""source"": ""philosophy"", ""target"": ""atheism_agnosticism""},
    {""source"": ""theology"", ""target"": ""atheism_agnosticism""},
    {""source"": ""science"", ""target"": ""atheism_agnosticism""},","Buddhism, Jainism, Confucianism, Taoism",No,"Secular Humanism, Empiricism, Skepticism, Rationalism, Materialism, Naturalism","Variations in acceptance and prevalence across different cultures, societies, and religions; different philosophical interpretations; varying legal recognition and rights.",Secularization of science and technology,"Potential philosophical implications, reevaluation of beliefs, increased skepticism towards divine creation theories",Promotion of critical thinking and scientific understanding,"Secular societies, Humanist associations, Rationalist groups, Freethought communities, Atheist churches, Secular student alliances, Atheist Republic, American Atheists, Freedom From Religion Foundation, The Brights Movement, Atheist Alliance International, The Richard Dawkins Foundation for Reason and Science, The","Promotion of secular ethics, critical thinking, and scientific skepticism",,High,"""Stanford Encyclopedia of Philosophy""",2/20/2022,Belief Systems,questioning_the_universe_icon,Religion & Spirituality,Cultural / Social / Informal,High,Low,TRUE
nutrition_diet,Nutrition & Diet,Lifetime,Health & Wellness,"Dietary Guidelines, Nutrient Requirements, Food Groups, Nutritional Assessment, Nutritional Disorders, Diet Therapy, Sports Nutrition, Pediatric Nutrition, Nutritional Epidemiology, Nutrigenomics, Macronutrients, Micronutrients, Diet and Chronic Diseases, Vegan and Vegetarian Diets,","Comprehensive coverage of dietary guidelines, nutritional requirements, food groups, diet planning, nutritional assessment, and diet-disease relationships.","The study of nutrients in food, how the body uses them, and the relationship between diet, health, and disease. This field also covers the process of ingestion, digestion, absorption, metabolism, transport, storage, and excretion of those nutrients. It includes understanding the role of various nutrients, dietary",5000 BC,Contemporary,"Food Science, Biochemistry, Physiology, Health Sciences, Culinary Arts","Food Science, Health & Wellness, Metabolism, Agriculture, Medicine, Sports Science, Environmental Science, Psychology, Sociology, Biochemistry, Gastronomy","Vitamins and Minerals, Protein and Carbohydrates, Omega-3 and Omega-6 Fatty Acids",Evolution of Dietary Patterns and Nutritional Adaptations in Humans,"{
  ""nutrition_diet"": {
    ""dependencies"": [
      {
        ""identifier"": ""biology"",
        ""name"": ""Biology""
      },
      {
        ""identifier"": ""chemistry"",
        ""name"": ""Chemistry""
      },
      {
        ""identifier"": ""medicine"",
        ""name"": ""Medicine""
      },
      {
        ""identifier"": ""psychology"",
        ""name"": ""Psychology""
      },
      {
        ""identifier"": ""physical_education","Ayurvedic Nutrition, Traditional Chinese Medicine Dietetics, African Indigenous Food Systems",Traditional dietary practices and nutritional beliefs of native cultures,"Holistic Nutrition, Ayurvedic Diet, Traditional Chinese Medicine Nutrition, Paleo Diet, Veganism, Raw Foodism, Intuitive Eating, Macrobiotic Diet, Alkaline Diet, Mediterranean Diet, Intermittent Fasting, Ketogenic Diet","Mediterranean, Asian, Western, Vegetarian, Vegan, Paleo, Ketogenic, Gluten-free, Lactose-free, Halal, Kosher, Ayurvedic, Raw Food, South Beach, Atkins, Low Sodium, Low Carb, High Protein, DASH, MIND,",Development of Nutritional Analysis Software,Effects of microgravity on human nutrition and meal planning for long-duration space missions,Sustainable Food Production and Consumption,"Dietary Guidelines for Americans, MyPlate Dietary Framework, Nutriscore Food Labelling System, Atkins Diet Program, Weight Watchers Diet Program, Mediterranean Diet, DASH Diet, Keto Diet, Plant-based Diet, Nutritional Therapy in Clinical Settings, School Lunch Programs, Hospital Meal Planning, Sports","Dietary Assessment, Meal Planning, Nutritional Counseling, Clinical Nutrition Therapy, Nutritional Education Programs, Food Safety Inspection, Nutritional Research, Public Health Nutrition Strategies, Sports Nutrition Management, Nutritional Policy Development","Dietary Guidelines for Americans, FDA Food Labeling Guide, ISO 22000 Food Safety Management",High,USDA FoodData Central,3/20/2022,Carbohydrates,apple_orange_icon,Health & Lifestyle,Cultural / Social / Informal,High,Low,TRUE
fitness_exercise,Fitness & Exercise,Daily,Health & Wellness,"Strength Training, Cardiovascular Exercise, Flexibility and Balance, Sports Coaching, Nutrition and Hydration, Fitness Assessment and Goal Setting, Injury Prevention and Rehabilitation, Personal Training, Group Fitness Instruction, Exercise Physiology, Health Promotion, Physical Education, Yoga, Pilates, Aerobics, Bodybuilding, Weight","Exercise Physiology, Nutrition, Physical Activity, Strength Training, Cardiovascular Exercise, Flexibility Training, Sports Science, Injury Prevention, Fitness Assessment, Personal Training, Group Fitness Instruction, Health Promotion, Wellness Coaching, Weight Management, Rehabilitation Exercises","The body of knowledge in the Fitness & Exercise field includes understanding of human anatomy, physiology, biomechanics, nutrition, exercise techniques, fitness assessments, exercise programming and prescription, injury prevention, recovery techniques, fitness equipment usage, and health promotion strategies.",776 BC,Contemporary,"nutrition_diet, sports_equipment, health_wellbeing, personal_training, physical_therapy, anatomy_physiology","Cardiovascular Health, Muscle Strength, Flexibility, Mental Health, Weight Management, Endurance Training, Nutrition, Sports Performance, Rehabilitation, Physical Therapy","Strength Training & Cardiovascular Exercise, Diet & Exercise, Flexibility & Balance Training, Exercise & Mental Health, Exercise & Sleep Quality, Hydration & Physical Performance","Development of Physical Strength, Endurance Training, Flexibility Improvement, Body Composition Transformation, Sports Performance Enhancement, Rehabilitation and Physical Therapy, Mind-Body Wellness Practices","{
  ""fitness_exercise"": {
    ""depends_on"": [""human_anatomy"", ""nutrition"", ""physiology"", ""psychology""],
    ""used_by"": [""sports_coaching"", ""physical_therapy"", ""personal_development"", ""healthcare""]
  }
}","Yoga, Tai Chi, Qigong",Traditional physical activities and games from various cultures,"Yoga Philosophy, Mind-Body Connection, Holistic Health Practices","Yoga in India, Tai Chi in China, Capoeira in Brazil, Gymnastics in Russia, Running in Kenya, Baseball in the United States",Wearable Fitness Trackers,Improved astronaut physical health and endurance,Physical health and wellness maintenance,"Gymnasiums, Personal Training, Online Fitness Programs, Physical Education Courses, Yoga Studios, Rehabilitation Centers, Sports Training Facilities, Home Workout Routines, Fitness Mobile Apps, Health Clubs, Outdoor Boot Camps, Pilates Studios, Dance Classes, Martial Arts Schools","Personal Training, Group Fitness Instruction, Physical Therapy, Sports Coaching, Nutritional Counseling, Rehabilitation Exercises, Strength and Conditioning Training, Yoga Instruction, Pilates Instruction, Aerobics Instruction, Health Club Management, Exercise Prescription, Fitness Assessment, Injury Prevention, Wellness Coaching",American College of Sports Medicine Guidelines,High,National Health and Nutrition Examination Survey,3/28/2022,Cardiovascular Training,dumbbell,Health & Lifestyle,Cultural / Social / Informal,High,Low,TRUE
mental_health,Mental Health,,Health & Medicine,,,,,,,,,,"{
  ""mental_health"": {
    ""depends_on"": [""psychology"", ""neuroscience"", ""medicine""],
    ""influences"": [""social_science"", ""education"", ""public_health""],
    ""related_to"": [""psychiatry"", ""counseling"", ""behavioral_health""]
  }
}",,,,,,,,,,,,,,,,Health & Lifestyle,Cultural / Social / Informal,High,Low,TRUE
sexual_health,Sexual Health,,Health & Medicine,,,,,,,,,,"{
  ""sexual_health"": {
    ""depends_on"": [""biology"", ""psychology"", ""medicine""],
    ""related_to"": [""reproductive_health"", ""mental_health"", ""public_health""],
    ""influences"": [""sociology"", ""gender_studies"", ""law"", ""ethics""]
  }
}",,,,,,,,,,,,,,,,Health & Lifestyle,Cultural / Social / Informal,High,Low,TRUE
sleep_recovery,Sleep & Recovery,24 hours,Health & Wellness,"Sleep Cycle Analysis, Sleep Disorders, Sleep Hygiene, Sleep Therapy, Sleep Research, Recovery Techniques, Restorative Sleep, Sleep Physiology, Sleep Psychology, Sleep Medicine, Sleep Nutrition, Sleep Environment Optimization, Sleep Technology, Recovery Strategies, Sleep-related Breathing Disorders","Sleep biology, sleep disorders, sleep hygiene, recovery techniques, circadian rhythms, sleep stages, sleep aids, effects of sleep deprivation, sleep and mental health, sleep and physical health, sleep research methodologies, sleep in different life stages, sleep and nutrition, sleep environment.","The body of knowledge in the field of Sleep & Recovery encompasses various aspects such as the physiological processes of sleep, stages of sleep, importance of sleep for physical and mental health, sleep disorders and their treatment, impact of lifestyle factors on sleep quality, role of sleep in recovery and healing, and techniques for",460 BC,Contemporary,"Sleep Quality, Sleep Duration, Sleep Environment, Sleep Disorders, Physical Health, Mental Health, Nutrition, Exercise, Stress Management, Daily Routine, Age, Gender","Sleep quality, Sleep duration, Sleep disorders, Sleep stages, Dreaming, Circadian rhythms, Physical health, Mental health, Stress management, Exercise, Nutrition, Lifestyle factors, Sleep environment, Sleep aids, Rest and relaxation techniques","Sleep Quality & Duration, Stress Management, Nutrition, Physical Activity, Mental Health, Hydration, Pain Management, Medication & Supplements","Adaptation to environment, Energy conservation, Memory consolidation, Tissue repair and growth, Immune function optimization","{
  ""nodes"": [
    {
      ""id"": ""sleep_recovery"",
      ""label"": ""Sleep & Recovery"",
      ""dependencies"": [
        {
          ""id"": ""human_biology"",
          ""label"": ""Human Biology""
        },
        {
          ""id"": ""psychology"",
          ""label"": ""Psychology""
        },
        {
          ""id"": ""nutrition"",
          ""label"": ""Nutrition""
        },
        {
          ""id"": ""exercise_science",Traditional Chinese Medicine Sleep Practices,Traditional sleep rituals and herbal remedies used by indigenous cultures for promoting restful sleep and recovery,"Holistic Healing and Wellness Approaches, Traditional Chinese Medicine Sleep Practices, Ayurvedic Sleep and Restoration Methods, Indigenous Cultural Sleep Rituals, Mindfulness and Meditation Techniques for Sleep Improvement","Variations in sleep patterns and recovery methods across different cultures, societal norms and traditions influencing sleep behavior, cultural beliefs about dreams and nightmares, siesta cultures, segmented sleep cultures, communal sleep in some societies, cultural attitudes towards sleep aids and medications.","Wearable sleep trackers, Smart mattresses, Sleep monitoring apps, Sleep inducing headphones, Light therapy devices, White noise machines, Advanced CPAP machines","Potential impact on astronaut's physical and mental health, sleep cycle regulation in zero gravity, and recovery strategies for long-term space missions.",Restful Sleep and Proper Recuperation,"Sleep tracking mobile applications, Sleep therapy clinics, Sleep research laboratories, Wearable sleep tracking devices, Sleep improvement programs in wellness retreats, Sleep hygiene education in schools and workplaces, Sleep disorder treatments in hospitals, Sleep meditation and relaxation techniques in yoga classes.","Sleep hygiene education, sleep disorder diagnosis and treatment, recovery training programs","Polysomnography standards, Actigraphy standards, Pittsburgh Sleep Quality Index (PSQI), Epworth Sleepiness Scale (ESS), Insomnia Severity Index (ISI), Restorative Sleep Questionnaire (RSQ), Sleep Hygiene Index (SHI), International Classification of Sleep Disorders (IC",High,National Sleep Foundation,3/10/2022,Sleep Duration,moon_and_stars,Health & Lifestyle,Cultural / Social / Informal,High,Low,TRUE
wellness_trends,Wellness Trends,,Health and Fitness,,,,,,,,,,"{
  ""wellness_trends"": {
    ""dependencies"": [
      ""nutrition"",
      ""mental_health"",
      ""physical_exercise"",
      ""holistic_health"",
      ""alternative_medicine"",
      ""lifestyle"",
      ""healthcare_technology"",
      ""environmental_health""
    ]
  }
}",,,,,,,,,,,,,,,,Health & Lifestyle,Cultural / Social / Informal,High,Low,TRUE
substance_use,Substance Use,,Health & Psychology,,,,,,,,,,"{
  ""nodes"": [
    {
      ""id"": ""substance_use"",
      ""label"": ""Substance Use"",
      ""properties"": {
        ""description"": ""The consumption of psychoactive substances, including alcohol and drugs.""
      }
    },
    {
      ""id"": ""addiction"",
      ""label"": ""Addiction"",
      ""properties"": {
        ""description"": ""A chronic disease characterized by drug seeking and use that is compulsive, or difficult to control, despite",,,,,,,,,,,,,,,,Health & Lifestyle,Cultural / Social / Informal,High,Low,TRUE
relationship_advice,Relationship Advice,,Psychology,,,,,,,,,,"{
  ""relationship_advice"": {
    ""depends_on"": [""psychology"", ""communication"", ""emotional_intelligence""],
    ""used_by"": [""counseling"", ""marriage_therapy"", ""life_coaching""],
    ""related_to"": [""dating"", ""marriage"", ""family""]
  }
}",,,,,,,,,,,,,,,,Health & Lifestyle,Cultural / Social / Informal,High,Low,TRUE
e_commerce,E-commerce,,Business & Technology,,,,,,,,,,"{
  ""nodes"": [
    {""id"": ""e_commerce"", ""label"": ""E-commerce"", ""level"": 1},
    {""id"": ""online_shopping"", ""label"": ""Online Shopping"", ""level"": 2},
    {""id"": ""digital_marketing"", ""label"": ""Digital Marketing"", ""level"": 2},
    {""id"": ""payment_systems"", ""label"": ""Payment Systems"", ""level"": 2},
    {""id"": ""customer",,,,,,,,,,,,,,,,Commerce & Consumerism,Cultural / Social / Informal,High,Low,TRUE
brand_culture,Brand Culture,,Marketing,,,,,,,,,,"{
  ""brand_culture"": {
    ""depends_on"": [""brand_identity"", ""brand_strategy"", ""brand_communication"", ""consumer_behavior"", ""marketing"", ""sociology"", ""psychology""],
    ""used_by"": [""brand_management"", ""marketing_strategy"", ""advertising"", ""public_relations""]
  }
}",,,,,,,,,,,,,,,,Commerce & Consumerism,Cultural / Social / Informal,High,Low,TRUE
product_reviews,Product Reviews,,E-commerce,,,,,,,,,,"{
  ""product_reviews"": {
    ""depends_on"": [""product_information"", ""customer_feedback"", ""product_ratings""],
    ""used_by"": [""product_comparison"", ""purchase_decision_making"", ""customer_satisfaction_analysis""]
  }
}",,,,,,,,,,,,,,,,Commerce & Consumerism,Cultural / Social / Informal,High,Low,TRUE
subscription_services,Subscription Services,,E-commerce,,,,,,,,,,"{
  ""subscription_services"": {
    ""depends_on"": [""e-commerce"", ""digital_marketing"", ""customer_relationship_management""],
    ""related_to"": [""streaming_services"", ""software_as_a_service"", ""publishing""],
    ""influences"": [""customer_retention"", ""revenue_models"", ""business_strategy""]
  }
}",,,,,,,,,,,,,,,,Commerce & Consumerism,Cultural / Social / Informal,High,Low,TRUE
advertising_marketing,Advertising & Marketing,,Business & Finance,,,,,,,,,,"{
  ""advertising_marketing"": {
    ""depends_on"": [""business_management"", ""psychology"", ""communication"", ""graphic_design"", ""economics""],
    ""used_by"": [""public_relations"", ""sales"", ""brand_management"", ""product_management"", ""digital_media""],
    ""related_to"": [""media_studies"", ""market_research"", ""consumer_behavior""]
  }
}",,,,,,,,,,,,,,,,Commerce & Consumerism,Cultural / Social / Informal,High,Low,TRUE
personal_finance,Personal Finance,,Economics,,,,,,,,,,"{
  ""personal_finance"": {
    ""dependent_on"": [""economics"", ""mathematics"", ""psychology""],
    ""related_to"": [""investment"", ""taxation"", ""insurance"", ""retirement_planning"", ""budgeting""],
    ""sub_fields"": [""debt_management"", ""savings"", ""credit_score""]
  }
}",,,,,,,,,,,,,,,,Commerce & Consumerism,Cultural / Social / Informal,High,Low,TRUE
crypto_digital_assets,Crypto & Digital Assets,,Finance & Technology,,,,,,,,,,"{
  ""knowledge_field"": ""crypto_digital_assets"",
  ""dependencies"": [
    {
      ""knowledge_field"": ""computer_science"",
      ""identifier"": ""computer_science""
    },
    {
      ""knowledge_field"": ""economics"",
      ""identifier"": ""economics""
    },
    {
      ""knowledge_field"": ""cryptography"",
      ""identifier"": ""cryptography""
    },
    {
      ""knowledge_field"": ""blockchain_technology"",
      ""identifier"":",,,,,,,,,,,,,,,,Commerce & Consumerism,Cultural / Social / Informal,High,Low,TRUE
influencer_marketing,Influencer Marketing,Contemporary,Marketing & Advertising,"Social Media Strategies, Brand Promotion, Content Creation, Audience Analysis, Digital Marketing, Public Relations, Advertising, Marketing Communications, Online Engagement, SEO/SEM Strategies, Marketing Analytics, Consumer Behavior, Media Planning, Business Development, Visual Communication, E-commerce, Ethics in Marketing, Market Research, Trend Forecasting","Social Media Strategies, Brand Promotion Techniques, Content Creation and Curation, Influencer Identification and Engagement, Marketing Analytics and Metrics, Ethical Guidelines in Influencer Marketing, Campaign Management and Optimization, ROI Measurement in Influencer Marketing","Influencer Marketing is a form of social media marketing involving endorsements and product placements from influencers, people and organizations who possess an expert level of knowledge or social influence in their respective fields. It can be categorized into Mega, Macro, Micro, and Nano influencer marketing based on the influencer's follower",2004,Information Age,"Social Media Platforms, Content Creation, Branding Strategies, Digital Marketing, Public Relations, Advertising, SEO, Analytics Tools, Influencer Identification Tools, Consumer Behavior, Marketing Strategy, Communication Skills","Social Media Platforms, Brand Collaborations, Audience Engagement, Content Creation, Digital Advertising, Public Relations, SEO Optimization, Marketing Strategies, Consumer Behavior, E-commerce","Brand-Influencer Partnerships, Audience Engagement, Cross-Promotion Strategies, Affiliate Marketing Programs, Content Collaboration, Social Media Campaigns, Product Endorsements",Traditional Advertising -> Celebrity Endorsements -> Social Media Marketing -> Influencer Marketing -> Micro-Influencer Marketing -> Nano-Influencer Marketing -> AI-Generated Influencer Marketing,"{
  ""influencer_marketing"": {
    ""depends_on"": [""marketing_strategies"", ""social_media_platforms"", ""content_creation"", ""branding"", ""public_relations"", ""digital_marketing""],
    ""used_by"": [""brand_management"", ""advertising"", ""public_relations"", ""social_media_strategy""],
    ""related_to"": [""celebrity_endorsement"", ""product_placement"", ""sponsorships"", ""affiliate_marketing""]
  }
}",Limited,Utilization of local influencers for community-specific campaigns,"Celebrity Endorsement, Social Media Promotion, Digital Word-of-Mouth Advertising, Brand Ambassadors, Micro-Influencer Marketing, Content Marketing, Viral Marketing","Cultural preferences in product endorsement, regional influencer impact, varying social media platform popularity, diverse content consumption habits, language and communication style differences","Social Media Analytics, AI-driven Influencer Discovery Platforms, Virtual Reality, Augmented Reality, Blockchain Technology",Minimal,,"Brand collaborations with influencers on social media platforms, Influencer-led product endorsements, Sponsored content on influencer blogs/vlogs, Influencer-hosted events or webinars, Influencer partnerships for product launches, Affiliate marketing with influencers, Influencer promotional campaigns on Instagram, YouTube, TikTok, etc.","Endorsement Disclosure, Authenticity and Transparency, Audience Engagement, Content Creation and Strategy, Ethical Collaborations, Compliance with Advertising Standards",Federal Trade Commission (FTC) Guidelines for Social Media and Influencer Marketing,High,Social Media Analytics Platforms,3/1/2022,Types of Influencer Marketing Campaigns,megaphone,Commerce & Consumerism,Cultural / Social / Informal,High,Low,TRUE
internet_slang,Internet Slang,,Linguistics,,,,,,,,,,"{
  ""internet_slang"": {
    ""depends_on"": [""internet_culture"", ""social_media"", ""text_messaging"", ""online_communication""],
    ""used_by"": [""online_communities"", ""social_networking_sites"", ""online_gaming"", ""instant_messaging""]
  }
}",,,,,,,,,,,,,,,,Internet & Informal Culture,Cultural / Social / Informal,High,Low,TRUE
emoji_visual_language,Emoji & Visual Language,,Linguistics & Communication,,,,,,,,,,"{
  ""emoji_visual_language"": {
    ""depends_on"": [""linguistics"", ""computer_science"", ""graphic_design"", ""cultural_studies""],
    ""contributes_to"": [""digital_communication"", ""social_media_studies"", ""psychology"", ""marketing""]
  }
}",,,,,,,,,,,,,,,,Internet & Informal Culture,Cultural / Social / Informal,High,Low,TRUE
forum_culture,Forum Culture,,Internet & Social Media,,,,,,,,,,"{
  ""forum_culture"": {
    ""dependencies"": [
      {
        ""identifier"": ""internet_culture"",
        ""name"": ""Internet Culture""
      },
      {
        ""identifier"": ""communication_theory"",
        ""name"": ""Communication Theory""
      },
      {
        ""identifier"": ""social_psychology"",
        ""name"": ""Social Psychology""
      },
      {
        ""identifier"": ""digital_sociology"",
        ""name"": ""Digital Sociology""
      }",,,,,,,,,,,,,,,,Internet & Informal Culture,Cultural / Social / Informal,High,Low,TRUE
online_etiquette,Online Etiquette,,Digital Communication,,,,,,,,,,"{
  ""nodes"": [
    {
      ""id"": ""online_etiquette"",
      ""label"": ""Online Etiquette"",
      ""dependencies"": [
        {
          ""id"": ""communication_skills"",
          ""label"": ""Communication Skills""
        },
        {
          ""id"": ""internet_basics"",
          ""label"": ""Internet Basics""
        },
        {
          ""id"": ""social_media_use"",
          ""label"": ""Social Media Use""
        },
        {
          """,,,,,,,,,,,,,,,,Internet & Informal Culture,Cultural / Social / Informal,High,Low,TRUE
irony_shitposting,Irony & Shitposting,Contemporary,Internet Culture,"Internet Culture, Meme Analysis, Social Media Communication, Satirical Content Analysis, Digital Rhetoric","Internet culture and communication, meme theory, humor and satire studies, social media behavior, digital rhetoric","Irony and Shitposting is a field that explores the use of sarcasm, satire, and deliberate miscommunication in digital communication, particularly in social media and online communities. This body of knowledge includes understanding the origins and evolution of shitposting, its cultural implications, and its role in modern internet discourse",2000,Digital Age,"Internet culture, meme theory, humor studies, social media platforms, digital communication, sarcasm detection algorithms","Memes, Sarcasm, Parody, Internet Culture, Social Media Communication, Satire, Humor Studies","memes_creation, internet_culture, social_media_interaction, humor_theory, satire_understanding","Memes evolution, Internet culture development, Satirical communication progression","{
  ""irony_shitposting"": {
    ""dependencies"": [
      ""internet_culture"",
      ""humor_theory"",
      ""social_media_communication"",
      ""linguistics""
    ]
  }
}",Minimal,Not Applicable,Postmodernism and Meme Culture,"Internet subcultures, Memes culture, Online communities, Social media platforms",Meme generation and sharing platforms,Minimal,Understanding and Navigating Digital Humor,"Online discussion forums, Social media platforms, Meme culture",Utilization of sarcasm and parody in digital communication,Internet Memetics and Satirical Communication Norms,high,Online Social Media Platforms,3/9/2022,Meme Culture,meme_icon,Internet & Informal Culture,Cultural / Social / Informal,High,Low,TRUE
trolling_flame_wars,Trolling & Flame Wars,,Internet Culture & Behavior,,,,,,,,,,"{
  ""internet_culture"": {
    ""knowledge_dependencies"": [""social_media_communication"", ""online_communities"", ""internet_ethics""]
  },
  ""trolling_flame_wars"": {
    ""knowledge_dependencies"": [""internet_culture"", ""cyberbullying"", ""online_behavior""]
  }
}",,,,,,,,,,,,,,,,Internet & Informal Culture,Cultural / Social / Informal,High,Low,TRUE
digital_identity,Digital Identity,,Information Technology,,,,,,,,,,"{
  ""digital_identity"": {
    ""depends_on"": [""cryptography"", ""computer_science"", ""information_security"", ""data_privacy"", ""internet_protocol"", ""authentication_technologies""],
    ""used_by"": [""cybersecurity"", ""digital_forensics"", ""e-commerce"", ""social_media"", ""online_banking"", ""cloud_computing""],
    ""related_to"": [""digital_signature"", ""digital_certificate"", ""identity_theft"", ""identity_management_systems"", """,,,,,,,,,,,,,,,,Internet & Informal Culture,Cultural / Social / Informal,High,Low,TRUE
memetic_warfare,Memetic Warfare,,Psychology and Communication Studies,,,,,,,,,,"{
  ""memetic_warfare"": {
    ""dependencies"": [
      ""psychology"",
      ""communication_theory"",
      ""information_theory"",
      ""social_media"",
      ""political_science"",
      ""cognitive_science"",
      ""propaganda"",
      ""cybersecurity""
    ]
  }
}",,,,,,,,,,,,,,,,Internet & Informal Culture,Cultural / Social / Informal,High,Low,TRUE
fandoms,Fandoms,Historical to Contemporary,Pop Culture,"Pop Culture, Fan Art, Fan Fiction, Cosplay, Conventions, Fan Theories, Character Analysis, Series Lore, Merchandising, Online Communities","Comprehensive coverage of characters, story arcs, themes, creator biographies, fan theories, fan art, fan fiction, conventions, merchandise, and fandom culture.","""Fandoms encompass the collective knowledge, interpretations, fan theories, fan art, fan fiction, conventions, and social interactions associated with specific media franchises, characters, or themes. This includes details about the original source material (books, movies, TV series, etc.), as well as fan-generated content and",1926,Contemporary,"Pop Culture, Media Franchises, Fan Activities, Fan Fiction, Cosplay, Conventions","Crossovers, Shared Universes, Fan Theories, Character Relationships","Crossovers, Collaborations, Shared Universes",From niche subcultures to mainstream phenomena,"[""pop_culture"", ""media_studies"", ""sociology"", ""psychology"", ""internet_culture""]","Anime/Manga, Bollywood, K-Dramas, J-Pop, K-Pop",Cultural storytelling and folklore interpretation,Fan theories and interpretations,"Anime/Manga, Sci-Fi, Fantasy, Comics, Video Games, TV Shows, Movies, Literature, Music, Sports",Online platforms and social media for fan interaction,"Potential impact on science fiction narratives, fan theories, and cosplay activities",Cultural preservation and continuity,"Comic-Con events, Fan clubs, Cosplay events, Fan fiction websites, Fandom-based charity events, Online discussion forums, Fandom merchandise stores, Social media fan pages, Fandom conventions, Fandom-themed cafes and restaurants.","Cosplay, Fanfiction Writing, Fan Art Creation, Convention Participation","Cosplay Guidelines, Fan Art Policies, Fanfiction Etiquette, Convention Codes of Conduct",High,Fanlore.org,3/22/2022,Star Trek,comic_book_icon,Subcultures & Communities,Cultural / Social / Informal,High,Low,TRUE
